discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name
Snowboard,beijing-2022,Women's Snowboard Halfpipe,Women,SILVER,Athlete,,https://olympics.com/en/athletes/queralt-castellet,Queralt CASTELLET,Spain
Snowboard,beijing-2022,Women's Snowboard Halfpipe,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/tomita,Sena TOMITA,Japan
Snowboard,beijing-2022,Women's Snowboard Halfpipe,Women,GOLD,Athlete,,https://olympics.com/en/athletes/chloe-kim,Chloe KIM,United States of America
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,GOLD,GameTeam,United States of America 1,https://olympics.com/en/athletes/nick-baumgartner,Nick BAUMGARTNER,United States of America
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,GOLD,GameTeam,United States of America 1,https://olympics.com/en/athletes/lindsey-jacobellis,Lindsey JACOBELLIS,United States of America
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,SILVER,GameTeam,Italy 1,https://olympics.com/en/athletes/omar-visintin,Omar VISINTIN,Italy
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,SILVER,GameTeam,Italy 1,https://olympics.com/en/athletes/michela-moioli,Michela MOIOLI,Italy
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,BRONZE,GameTeam,Canada 1,https://olympics.com/en/athletes/eliot-grondin,Eliot GRONDIN,Canada
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,BRONZE,GameTeam,Canada 1,https://olympics.com/en/athletes/meryeta-odine,Meryeta ODINE,Canada
Snowboard,beijing-2022,Women's Snowboard Cross,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/meryeta-odine,Meryeta ODINE,Canada
Snowboard,beijing-2022,Women's Snowboard Cross,Women,SILVER,Athlete,,https://olympics.com/en/athletes/chloe-trespeuch,Chloe TRESPEUCH,France
Snowboard,beijing-2022,Women's Snowboard Cross,Women,GOLD,Athlete,,https://olympics.com/en/athletes/lindsey-jacobellis,Lindsey JACOBELLIS,United States of America
Snowboard,beijing-2022,Men's Parallel Giant Slalom,Men,SILVER,Athlete,,https://olympics.com/en/athletes/tim-mastnak,Tim MASTNAK,Slovenia
Snowboard,beijing-2022,Men's Parallel Giant Slalom,Men,GOLD,Athlete,,https://olympics.com/en/athletes/benjamin-karl,Benjamin KARL,Austria
Snowboard,beijing-2022,Men's Parallel Giant Slalom,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/vic-wild,Vic WILD,ROC
Snowboard,beijing-2022,Women's Snowboard Big Air,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/murase-kokomo,Kokomo MURASE,Japan
